what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1311292055201
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1311292055201
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1311292055371
started,bundle,org.eclipse.jgit,0.12.1,"org.eclipse.jgit",1311292055985
started,bundle,org.eclipse.egit.core,0.12.1,"org.eclipse.egit.core",1311292056175
started,bundle,org.eclipse.egit.ui,0.12.1,"org.eclipse.egit.ui",1311292056326
started,bundle,com.google.gdt.eclipse.designer.hosted,2.3.1.r36x201105061248,"com.google.gdt.eclipse.designer.hosted",1311292056480
started,bundle,com.collabnet.subversion.merge,2.1.0,"com.collabnet.subversion.merge",1311292056795
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1311292056889
started,bundle,org.tigris.subversion.subclipse.ui,1.6.12,"org.tigris.subversion.subclipse.ui",1311292056959
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1311292057024
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1311292057049
started,bundle,com.android.ide.eclipse.ddms,8.0.1.v201012062107-82219,"com.android.ide.eclipse.ddms",1311292058434
started,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.adt",1311292058706
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1311292058766
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1311292058771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292132693
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292155175
started,bundle,com.google.gdt.eclipse.designer.wizards,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.wizards",1311292162861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292166579
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292265698
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292269238
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292311850
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292329727
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292332730
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1311292337292
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1311292337312
closed,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1311292337327
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292339478
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292342997
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292344292
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292345643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292346545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311300650076
